Number of stations is:
500
nw stn lat lon:
SY AAQN  70.9419  -160.2243
SY AAQO  71.2081  -162.5277
SY AAQP  71.4419  -164.8945
SY AAQQ  71.6421  -167.3183
SY AAQR  71.8074  -169.7918
SY AAQS  71.9371  -172.3065
SY AAQT  72.0303  -174.8529
SY AAQU  72.0865  -177.4210
SY AAQV  72.1053  180.0000
SY AAQW  72.0865  177.4210
SY AAQX  72.0303  174.8529
SY AAQY  71.9371  172.3065
SY AAQZ  71.8074  169.7918
SY AARA  71.6421  167.3183
SY AARB  71.4419  164.8945
SY AARC  71.2081  162.5277
SY AARD  70.9419  160.2243
SY AARE  70.6447  157.9893
SY AARF  70.3178  155.8267
SY AARG  69.9627  153.7393
SY AARH  69.5808  151.7289
SY AARI  68.6617  -153.1688
SY AARJ  69.0253  -155.1066
SY AARK  69.3628  -157.1119
SY AARL  69.6731  -159.1827
SY AARM  69.9547  -161.3162
SY AARN  70.2066  -163.5085
SY AARO  70.4275  -165.7549
SY AARP  70.6163  -168.0500
SY AARQ  70.7723  -170.3870
SY AARR  70.8944  -172.7589
SY AARS  70.9822  -175.1574
SY AART  71.0350  -177.5741
SY AARU  71.0526  180.0000
SY AARV  71.0350  177.5741
SY AARW  70.9822  175.1574
SY AARX  70.8944  172.7589
SY AARY  70.7723  170.3870
SY AARZ  70.6163  168.0500
SY AASA  70.4275  165.7549
SY AASB  70.2066  163.5085
SY AASC  69.9547  161.3162
SY AASD  69.6731  159.1827
SY AASE  69.3628  157.1119
SY AASF  69.0253  155.1066
SY AASG  68.6617  153.1688
SY AASH  67.7313  -154.4944
SY AASI  68.0778  -156.3614
SY AASJ  68.3991  -158.2877
SY AASK  68.6940  -160.2713
SY AASL  68.9614  -162.3093
SY AASM  69.2002  -164.3981
SY AASN  69.4093  -166.5336
SY AASO  69.5880  -168.7107
SY AASP  69.7354  -170.9236
SY AASQ  69.8507  -173.1661
SY AASR  69.9335  -175.4312
SY AASS  69.9834  -177.7117
SY AAST  70.0000  180.0000
SY AASU  69.9834  177.7117
SY AASV  69.9335  175.4312
SY AASW  69.8507  173.1661
SY AASX  69.7354  170.9236
SY AASY  69.5880  168.7107
SY AASZ  69.4093  166.5336
SY AATA  69.2002  164.3981
SY AATB  68.9614  162.3093
SY AATC  68.6940  160.2713
SY AATD  68.3991  158.2877
SY AATE  68.0778  156.3614
SY AATF  67.7313  154.4944
